Artist,ID,Unique Artists,Picture URL,Image Author,Image Source,Type
GOT7,42,EXO-CBX,https://upload.wikimedia.org/wikipedia/commons/6/65/EXO_at_the_SMTown_Week_02.jpg,Babyxiu,http://babyxiu.tistory.com/entry/131224-SMTOWN-WEEK-%EC%97%94%EB%94%A9,Boy Group
GOT7,43,Weki Meki,https://upload.wikimedia.org/wikipedia/commons/d/d6/171202_%EC%9C%84%ED%82%A4%EB%AF%B8%ED%82%A4_01.png,mang2goon,https://www.youtube.com/watch?v=fUiFScMWn5E,Girl Group
GOT7,44,AOA CREAM,https://upload.wikimedia.org/wikipedia/commons/e/e8/AOA_Cream_at_a_mini_fan_meeting_in_February_2016_01.jpg,Hey Day,http://hdpics.tistory.com/87,Sub-Unit Group
GOT7,45,Highlight,https://upload.wikimedia.org/wikipedia/commons/5/5e/%28Marie_Claire_Korea%29_BEAST_is_BACK%21_%287%29.jpg,Marie Claire Korea,https://www.youtube.com/watch?v=I7Ecjl3Qzfg,Boy Group
GOT7,46,SISTAR19,https://upload.wikimedia.org/wikipedia/commons/b/ba/Sistar19.jpg,KIYOUNG KIM,https://www.flickr.com/photos/paparazzistudio/9064885974,Sub-Unit Group
SF9,47,Block B,https://upload.wikimedia.org/wikipedia/commons/5/58/KCON16LA_-_Saturday_Curtain_Call_-_20160731-P1010094_%2828431780383%29.jpg,mduangdara,https://www.flickr.com/photos/mduangdara/28431780383/,Boy Group
GOT7,48,INFINITE,https://upload.wikimedia.org/wikipedia/commons/2/22/Korea_KPOP_World_Festival_44.jpg,Korea.net / Korean Culture and Information Service (Jeon Han),https://www.flickr.com/photos/42438955@N05/11039783895/,Boy Group
SF9,49,MOMOLAND,https://upload.wikimedia.org/wikipedia/commons/c/cf/%EB%AA%A8%EB%AA%A8%EB%9E%9C%EB%93%9C%28MOMOLAND%29_%ED%8F%89%EC%B0%BD_%EB%8F%99%EA%B3%84%EC%98%AC%EB%A6%BC%ED%94%BD_G-10_%ED%8A%B9%EC%A7%91_%EC%83%9D%EB%B0%A9%EC%86%A1_%2816%29.jpg,SJ,http://sjcontents.tistory.com/1037,Girl Group
SF9,50,Brown Eyed Girls,https://upload.wikimedia.org/wikipedia/commons/e/e3/K-POP_group_Brown_Eyed_Girls_performs_to_celebrate_the_2013_World_Rowing_Championship.jpg,Korea.net / Korean Culture and Information Service (Jeon Han),https://www.flickr.com/photos/42438955@N05/9607763476/,Girl Group
SF9,51,CLC,https://upload.wikimedia.org/wikipedia/commons/9/9e/160903_CLC_Asia_Music_Stage.jpg,147Company,http://147company.com/1267,Girl Group
Wanna One,52,4MINUTE,https://upload.wikimedia.org/wikipedia/commons/9/94/4minute_at_MTV-DAUM_Music_Fest.jpg,acrofan.com,http://www.acrofan.com/ko-kr/life/content/20110220/0802030301,Girl Group
Wanna One,53,PSY,https://upload.wikimedia.org/wikipedia/commons/b/b0/PSY_EMTV_logo_27_%288198008711%29.jpg,Korea.net / Korean Culture and Information Service (Jeon Han),https://www.flickr.com/photos/koreanet/8198008711/,Solo
Wanna One,54,B1A4,https://upload.wikimedia.org/wikipedia/commons/e/e4/B1A4_2016.png,TV10,https://www.youtube.com/watch?v=nJdRIXwT7kI,Boy Group
SEVENTEEN,55,HyunA,https://upload.wikimedia.org/wikipedia/commons/9/96/HyunA_at_a_fansign_on_May_12%2C_2017_3.jpg,Dazzling you,http://dazzlingyou.tistory.com/77,Solo
SEVENTEEN,56,UP10TION,https://upload.wikimedia.org/wikipedia/commons/b/b1/%ED%85%90%EC%95%84%EC%8B%9C%EC%95%84_%EB%A7%A4%EA%B1%B0%EC%A7%84_7%EC%9B%94%ED%98%B8_%EC%B4%AC%EC%98%81_%ED%98%84%EC%9E%A5_-_%EC%97%85%ED%85%90%EC%85%98_1m_53s.jpg,tenasia10,https://www.youtube.com/watch?v=9Kuz2fnIY-Q,Boy Group
