ID,Song Title,Artist,Year,YouTube MV Link,MV Start Time (Min.Second),YouTube Dance Practice Link,Dance Practice Start Time (Min.Sec),Duration (Second),Difficulty
105,Rough,GFRIEND,2016,https://youtu.be/0VKcLPdY9lI,1,https://youtu.be/cEbpyd-D4PI,0.48,32,Hard
106,Me Gustas Tu,GFRIEND,2015,https://youtu.be/oixRBiOteWY,1.13,https://youtu.be/DMOaEdw4KJM,1.14,36,Hard
107,Glass Bead,GFRIEND,2015,https://youtu.be/GU7icQFVzHo,1.14,https://youtu.be/5Sd4FByvxQk,1.01,31,Medium
108,RUNAWAY,PENTAGON,2017,https://youtu.be/vxpRxiNM2sQ,0.47,https://youtu.be/73OgnGSgfbI,0.5,28,Hard
109,Like This,PENTAGON,2017,https://youtu.be/AeLifhqRggg,0.54,https://youtu.be/SuVpcATVP3E,1.01,32.5,Hard
110,Hellavator,Stray Kids,2017,https://youtu.be/AdfIfFGCqgo,1.03,https://youtu.be/nGOH6l5j9Zg,0.59,35,Hard
111,Spring Day,BTS,2016,https://youtu.be/xEeFrLSkMm8,1.37,https://youtu.be/_AlODdAInRY,1.07,59,Hard
112,RUN,BTS,2015,https://youtu.be/wKysONrSmew,1.36,https://youtu.be/9S3ZhJGv8JM,0.53,48,Hard
113,FIRE,BTS,2016,https://youtu.be/ALj5MKjy2BU,2.49,https://youtu.be/sWuYspuN6U8,1.59,25,Medium
114,DOPE,BTS,2015,https://youtu.be/BVwAVbKYYeM,1.42,https://youtu.be/UrNfJ7AwW_g,1.29,32,Medium
115,Save ME,BTS,2016,https://youtu.be/GZjt_sA2eso,1.11,https://youtu.be/GZjt_sA2eso,1.11,32.5,Hard
116,Boy In Luv,BTS,2014,https://youtu.be/m8MfJg68oCs,1.59,https://youtu.be/gqz6Adx63w8,1.07,37,Hard
117,Holiday,Girls' Generation,2017,https://youtu.be/YwN-CN9EjTg,0.43,https://youtu.be/gagyDuixv0M,0.43,37,Medium
118,All Night,Girls' Generation,2017,https://youtu.be/f4w8IbQTJpY,0.51,https://youtu.be/gys9pCp-t0U,1.01,34,Medium
119,Catch Me If You Can,Girls' Generation,2015,https://youtu.be/b09U0KLv6I4,1.14,https://youtu.be/b09U0KLv6I4,1.14,31.8,Hard
120,Mr. Mr.,Girls' Generation,2014,https://youtu.be/Z8j_XEn9b_8,0.43,https://youtu.be/DMNcXwxQA7Q,1.13,40,Hard
121,Oh!,Girls' Generation,2010,https://youtu.be/TGbwL8kSpEk,0.46,https://youtu.be/S7SYWFeaSqc,0.44,40.5,Easy
122,Run Devil Run,Girls' Generation,2010,https://youtu.be/q_gfD3nvh-8,0.53,https://youtu.be/jroYSvkYeIU,0.48,36,Easy
123,Genie,Girls' Generation,2009,https://youtu.be/6SwiSpudKWI,1.05,https://youtu.be/qqoPMgXK8fA,0.34,35,Easy
124,Hoot,Girls' Generation,2010,https://youtu.be/F4-SxcCO5d0,1.22,https://youtu.be/PfPWxK1BQFI,0.45,44,Easy
125,The Boys,Girls' Generation,2011,https://youtu.be/6pA_Tou-DPI,2.17,https://youtu.be/XbDc7T8V3nQ,1.12,26,Medium
126,Monster,EXO,2017,https://youtu.be/KSH-FVVtTf0,0.41,https://youtu.be/e8q3OET5dwk,0.39,33,Medium
127,Hey Mama!,EXO-CBX,2016,https://youtu.be/AOzVyVv1HtQ,0.33,https://youtu.be/ab_mJX66WN8,0.33,41,Hard
128,I don't like your Girlfriend,Weki Meki,2017,https://youtu.be/bAsyhiaHzJQ,0.45,https://youtu.be/4j6oUkq0c68,0.44,25,Medium
129,I'm Jelly BABY,AOA CREAM,2016,https://youtu.be/oaxUPPdXkaI,1.32,https://youtu.be/opvOiql_DiM,1.04,30,Easy
130,Plz Don't Be Sad,Highlight,2017,https://youtu.be/1kcwvcbO8MI,0.57,https://youtu.be/cYZ-eW9F5OM,0.58,33,Medium
131,FIVE,APink,2017,https://youtu.be/b22Ed7f0D-0,1,https://youtu.be/L95nWQjC4eU,1,34,Easy
132,LUV,APink,2014,https://youtu.be/8dVjSvLzD1I,1.11,https://youtu.be/5XYxuVYmR6A,2.05,35,Easy
133,Remember,APink,2015,https://youtu.be/bXlrqQKbjSM,1.14,https://youtu.be/cjqxQganZaY,1.33,30,Easy
134,Only One,APink,2016,https://youtu.be/kCSFdRf0210,0.54,https://youtu.be/wlvEHu8DBg4,0.53,32.5,Easy
135,SHAKE IT,SISTAR,2015,https://youtu.be/x9-TIy7WPQI,0.5,https://youtu.be/O27fsGdpP-Y,0.51,39,Easy
136,I Like That,SISTAR,2016,https://youtu.be/LJVUjmNMF8c,1.01,https://youtu.be/ErfYlsY16UQ,1.19,29,Medium
137,I Swear,SISTAR,2014,https://youtu.be/8PrNPhVexE4,1.1,https://youtu.be/QFiAaqY2RpE,1.13,34,Medium
138,Give It To Me,SISTAR,2013,https://youtu.be/p6XLNsJ9YrA,0.54,https://youtu.be/jOBE9QSO9II,0.53,32,Medium
139,So Cool,SISTAR,2011,https://youtu.be/Pj3q0ZChgFE,0.57,https://youtu.be/UNAVw-Sbp1U,0.57,35.5,Medium
140,Alone,SISTAR,2012,https://youtu.be/E0ZHXVp_wUE,1.02,https://youtu.be/49eSmWfkOs4,1.07,38,Medium
141,Loving U,SISTAR,2012,https://youtu.be/oL2AlXWVbKU,0.38,https://youtu.be/RK_TkMWTdiw,0.38,52.5,Medium
142,Ma Boy,SISTAR19,2011,https://youtu.be/X6XXia5B2Wg,1.12,https://youtu.be/Z-XPIxwhY-Q,1.04,25,Easy
143,Gone Not Around Any Longer,SISTAR19,2013,https://youtu.be/JtVhwsACgTw,1.11,https://youtu.be/RPqxbCzztiQ,1.04,33,Medium
144,Dumb Dumb,Red Velvet,2015,https://youtu.be/XGdbaEDVWp0,0.38,https://youtu.be/RPqxbCzztiQ,0.44,42,Hard
145,Happiness,Red Velvet,2014,https://youtu.be/JFgv8bKfxEs,0.52,https://youtu.be/egb6_curQvc,0.52,52,Hard
146,Expectation,Girls Day,2013,https://youtu.be/fqR2HGkjFCA,0.4,https://youtu.be/Ecty0pfDYOA,0.46,30,Medium
147,Darling,Girls Day,2014,https://youtu.be/QB4dQcxgJPY,0.5,https://youtu.be/Lzm00Cn-7n8,1.14,39,Medium
148,Lucifer,SHINee,2010,https://youtu.be/Dww9UjJ4Dt8,0.12,https://youtu.be/ovztfpWPo5M,0.08,46,Hard
149,Sherlock (Clue + Note),SHINee,2012,https://youtu.be/8kyG5tTZ1iE,1.27,https://youtu.be/e0HYZxIzj8s,1.25,23,Medium
150,Everybody,SHINee,2013,https://youtu.be/hKbNV-4b_g8,1.23,https://youtu.be/GUf7hbpmFLg,2.46,43.5,Hard
151,ISLAND,WINNER,2017,https://youtu.be/kRj4toENrnA,0.59,https://youtu.be/B7jL-fTYDQs,0.58,27,Easy
152,YESTERDAY,Block B,2017,https://youtu.be/3q22SInyiX8,1.02,https://youtu.be/kZMAvjQYGkE,0.48,20,Easy
153,HER,Block B,2014,https://youtu.be/o0WCva5Stk4,0.36,https://youtu.be/5xVM4BP4IAA,0.36,31,Easy
154,Very Good,Block B,2013,https://youtu.be/kJGcO5Une-g,0.55,https://youtu.be/tmJG1e-0Emg,0.24,24,Medium
155,JACKPOT,Block B,2014,https://youtu.be/h4zvN1Pjzn8,1.16,https://youtu.be/1RvfGSSFlyc,0.51,34,Easy
156,Toy,Block B,2016,https://youtu.be/JtjxZoa_LHM,0.55,https://youtu.be/OWTtAhVoF58,0.47,39,Easy
157,Shall We Dance,Block B,2017,https://youtu.be/NHglTopVlKQ,0.39,https://youtu.be/29BvV_UAvO0,1.04,22,Medium
158,The Eye,INFINITE,2016,https://youtu.be/Cmhca-ROWwQ,1.57,https://youtu.be/0_CyXpP5dyY,1.28,55,Hard
159,Bad,INFINITE,2015,https://youtu.be/i1oTSAhdzNQ,0.59,https://youtu.be/znxqh60w5p8,1.04,23,Hard
160,Last Romeo,INFINITE,2014,https://youtu.be/L7kaScuQ0KM,1.38,https://youtu.be/Keux-aGfoM4,2.01,36.5,Medium
